match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_kills_per_min,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_kills_per_min,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min,player_win_ratio,opponent_win_ratio
6881670410,435156271,0,0,0,539.2222222222222,369.77777777777777,0.13547469179708108,0,0,353844478,0,0.27928998966006446,0,655.8,504.35,0.25838635954409317,0,0,435156271,20.09014490362203,80.29079141266891,420.5343038227548,718.1430864953935,2.6538038087605265,5.281852615574806,0.5252322827473128,0.5296080066722268
6881671112,126552689,0,0,0,1102.15,787.8,0.2547400223572256,0,0,190213555,0,0,0,1039.2,738.65,0.19063028335035745,0,0,126552689,0,19.564157373757315,840.1090311961805,612.4386950517641,1.5558984020926263,1.087564376006267,0.4923820141211446,0.5218687872763419
6881671117,113106253,0.27977714968273165,0.4692418736187401,0,433.8,297.0,0.10357035500174241,0,0,394918703,0.20165661298473822,0.21449364523607,0,579.25,513.35,0.20797624619188654,0,0,113106253,21.121839069006302,129.05545232268082,379.57053642211974,529.3318067959528,1.6662899274780756,6.207795884487236,0.5143090343314799,0.5656705306816974
6881671419,366818551,0,0,0,628.05,414.55,0.16772788379755427,0,0,1108223550,0,0,0,741.65,505.25,0.2628811292985705,0,0,366818551,36.68388223800692,89.18200344674229,532.0590520015927,761.6265634774842,1.7942068737352077,4.919246360048846,0.4619197836863452,0.5173396674584323
6881671500,211257730,0.18268532713780264,0.33415895529529094,0,648.2631578947369,498.2105263157895,0.2825301243278598,0,0,150275720,0.21745908418940196,0.2863581157033892,0,594.45,466.15,0.19560992341744082,0,0,211257730,75.59742609442685,104.31388942753308,606.6052618636941,571.1481120240353,4.862543106244067,4.802372906538522,0.5196520118067423,0.5173032974208293
6881671816,110514782,0,0,0,0,0,0,0,0,173467553,0,0,0,0,0,0,0,0,110514782,0,0,0,0,0,0,0.45652173913043476,0.4856
6881671818,154001178,0.19366989695716613,0.3770361395339007,0,719.9,513.3,0.19583683192738516,0,0,211872246,0.22434145137242703,0.4356600233754013,0,818.4,620.2,0.25852039101666263,0,0,154001178,66.61808888414745,70.94530628950159,541.7318835336304,756.5002547235046,3.750589759122293,5.42929349802784,0.5138039098641993,0.495695453322572
6881672409,410737610,0.19832959576786896,0.5057717363180776,0,735.55,470.3,0.1623808613150471,0,0,852648872,0.2718399662218966,0.4672406887164818,0,918.8,707.65,0.4010751545321961,0,0,410737610,17.35663590781825,49.63910812369471,590.5643144569742,1084.7311206467969,2.1718143589130485,3.2040748069125256,0.5159982935153583,0.5459940652818991
6881672914,419776980,0,0.3189064859434767,0,935.3,744.45,0.316900452474621,0,0,901203564,0.21523838222946617,0.38029070245794416,0,595.3684210526316,416.3157894736842,0.17494654667759874,0,0,901203564,114.15369408304369,55.10715509969382,768.0882089121295,597.9419730213339,6.139676852319943,3.9526590805355912,0.48513302034428796,0.4951590594744122
6881673610,120977915,0,0,0,0,0,0,0,0,316682069,0,0,0,0,0,0,0,0,316682069,0,0,0,0,0,0,0.4984576301941571,0.499151103565365
6881673800,266924516,0.2638223114183942,0.4082770834038111,0,595.1,373.75,0.10954299167170305,0,0,1084246542,0.3005180881083035,0.5878614769275677,0,1397.5,880.0,0.26571031623461494,0,0,1084246542,25.591355266394363,26.43807809903517,434.8376134397142,1150.7407994137059,2.7940851098185027,2.5160818025154925,0.5200288704438831,0.4570877531340405
6881674811,379452388,0,0,0,0,637.2,0.4377505455630734,0,0,114259385,0,0,0,0,424.95,0.1862619496450168,0,0,114259385,0,0,952.4557807551562,535.130178425888,6.715788524560781,4.318868871229538,0.6272401433691757,0.5360498258207537
