'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879555915,63,,12114,11,4,23417,451,15,613,11,83,3573,,
6879555915,27,894520275.0,9633,3,8,11088,376,14,520,3,64,3663,,
6879555915,87,,7544,0,5,6546,314,19,495,0,21,963,,
6879555719,12,,7360,3,5,12897,287,2,424,3,56,0,,
6879555719,7,363149440.0,6445,5,10,12613,287,1,367,5,27,0,,
6879555719,18,157542254.0,6987,1,5,12795,281,5,387,1,80,358,,
6879555719,103,,4931,1,20,5459,187,0,111,1,11,103,,
6879555719,35,,6543,1,19,11698,250,4,315,1,55,324,,
6879555719,81,883689367.0,19265,27,4,37306,715,10,966,27,145,6217,,
6879555719,95,,13995,8,1,10497,496,9,549,8,115,15081,,
6879555719,22,,8500,4,2,16371,317,18,461,4,22,572,,
6879555719,15,,13678,10,3,18086,498,11,690,10,107,2117,,
6879555719,96,,13249,10,2,15730,497,17,631,10,109,1738,,
6879555706,64,,5252,4,2,8479,270,9,347,4,14,2679,,
6879555706,100,118862284.0,9150,8,2,11824,479,7,562,8,78,1136,,
6879555706,41,129301349.0,9683,8,0,6737,472,7,424,8,96,5423,,
6879555706,61,90955070.0,8826,3,2,10845,470,8,535,3,105,10206,,
6879555706,86,195022680.0,6169,4,0,9229,312,10,355,4,31,2034,,
6879555706,101,139552488.0,3407,1,5,9637,189,2,248,1,31,67,,
6879555706,91,110247816.0,3168,0,4,669,173,4,257,0,4,0,,
6879555706,56,145334596.0,8110,2,5,5206,419,2,497,2,193,329,,
6879555706,99,,6595,2,6,10653,334,2,320,2,88,0,,
6879555706,80,251410463.0,5535,0,7,6103,282,0,374,0,86,0,,
6879555118,27,,10411,6,4,11286,418,16,540,6,54,8619,,
6879555118,20,,7499,4,6,12494,314,14,389,4,29,984,,
6879555118,126,,14510,10,3,22076,556,10,667,10,130,3151,,
6879555118,18,874849441.0,15093,8,4,14324,593,12,627,8,191,10482,,
6879555118,2,307437257.0,16612,12,3,24740,629,13,837,12,168,4343,,
6879555118,10,,10786,5,8,12257,435,5,602,5,129,423,,
6879555118,19,182319382.0,6882,1,13,4130,283,5,373,1,58,50,,
6879555118,91,,4204,0,14,3290,172,8,230,0,13,0,,
6879555118,90,,7891,2,7,21165,342,11,370,2,85,0,,
6879555118,22,,11201,8,6,26938,430,9,546,8,82,0,,
6879555111,26,,4764,3,9,8924,200,4,279,3,18,0,,
6879555111,2,,7966,4,11,18849,322,2,333,4,102,101,,
6879555111,8,,8046,2,6,2980,319,0,387,2,119,0,,
